Audio,English,Persian G Translate,Persian Bamooz,English Alternatives,German,German Alternatives,Level,Part of Speech,Picture,Plural and inflected forms,Sample sentence,Thing
{{0 0 0.mp3}},every,هر,هر (کسی یا چیزی)، [ضمیر نامعین مذکر],,jeder,"jeder, jede, jedes",5,pron,{{0 7 0.jpg}},,Wir fahren jedes Jahr nach Italien.,23502225
{{1 0 0.mp3}},"to change, convert",تغییر دادن، تبدیل,تبدیل کردن,,umwandeln,,148,verb,{{1 7 0.jpg}},umwandelt; umwandelte; hat umwandelt,Der Generator wandelt Bewegungsenergie in elektrische Energie um.,24618945
{{2 0 0.mp3}},humanity,بشریت,بشریت، انسانیت,the mankind,die Menschheit,Menschheit,119,noun,{{2 7 0.jpg}},no plural,Klimawandel betrifft die ganze Menschheit.,24587553
{{3 0 0.mp3}},"equipment, provision, furnishings",تجهیزات، منابع، مبلمان,وسایل، امکانات، تجهیزات,,die Ausstattung,,149,noun,{{3 7 0.jpg}},die Ausstattungen,Die technische Ausstattung sollte noch verbessert werden.,24619708
{{4 0 0.mp3}},nation,ملت,ملت، کشور,the nation,die Nation,Nation,63,noun,{{4 7 0.jpg}},die Nationen,In Deutschland leben viele verschiedene Nationen.,24383167
{{5 0 0.mp3}},"to quarrel, argue",نزاع کردن، استدلال می کنند,جر و بحث کردن، دعوا کردن / جر و بحث داشتن، دعوا داشتن، (sich streiten),argue,streiten,,113,verb,{{5 7 0.jpg}},streitet; stritt; hat gestritten,Streitet euch nicht!,24569324
{{6 0 0.mp3}},to look,نگاه كردن,به چیزی نگاه کردن، تماشا کردن,look at,schauen,,23,verb,{{6 7 0.jpg}},schaut; schaute; hat geschaut,Martin schaut aus dem Fenster.,23885294
{{7 0 0.mp3}},for example,مثلا,برای مثال,,beispielsweise,,29,adv,{{7 7 0.jpg}},,Meine Mutter beispielsweise nimmt zum Braten Butter.,24020476
{{8 0 0.mp3}},service,سرویس,خدمات، سرویس,,der Service,,95,noun,{{8 7 0.jpg}},die Services,Der Service im Hotel war sehr gut.,24546021
{{9 0 0.mp3}},judge,قاضی,قاضی,the judge,der Richter,Richter,71,noun,{{9 7 0.jpg}},die Richter,Der Richter verliest die Anklage.,24476408
{{10 0 0.mp3}},spectrum,طیف,طیف,,das Spektrum,,154,noun,{{10 7 0.jpg}},die Spektren,Wir haben ein breites Spektrum an Möglichkeiten.,24620651
{{11 0 0.mp3}},"westerly, western",غربی، غرب,غربی، غرب,,westlich,,68,adj,{{11 7 0.jpg}},,Claudia wohnt in einem westlichen Stadtteil von Leipzig.,24474498
{{12 0 0.mp3}},to explain,توضیح دادن,توضیح دادن، شرح دادن,,erklären,,13,verb,{{12 7 0.jpg}},erklärt; erklärte; hat erklärt,Der Lehrer erklärt seinen Schülern eine chemische Formel.,23642735
{{13 0 0.mp3}},to spend,خرج كردن,گذراندن (زمان),spend,verbringen,,61,verb,{{13 7 0.jpg}},verbringt; verbrachte; hat verbracht,Sie verbringen den Sommer immer in Südfrankreich.,24281184
{{14 0 0.mp3}},to despair,نا امید کردن,ناامیدشدن، مایوس‌شدن,,verzweifeln,,137,verb,{{14 7 0.jpg}},verzweifelt; verzweifelte; ist verzweifelt,Langsam begann Kerstin zu verzweifeln.,24611443
{{15 0 0.mp3}},"to exclude, rule out",رد کردن، از لیست و … خارج کردن,نفی کردن، رد کردن، منتفی کردن / اخراج کردن، طرد کردن / قفل کردن، بستن,exclude,ausschließen,,50,verb,{{15 7 0.jpg}},schließt aus; schloss aus; hat ausgeschlossen,Die Polizei schließt ein Verbrechen aus.,24263980
{{16 0 0.mp3}},to run,دویدن,دویدن / پیاده رفتن، قدم زدن، راه رفتن / جلو رفتن، پیش رفتن / کار کردن، راه افتادن / جاری شدن، روان شدن / معتبر بودن، اعتبار داشتن,,laufen,,13,verb,{{16 7 0.jpg}},läuft; lief; ist gelaufen,Erwin läuft jeden Tag fünf Runden im Park.,23642688
{{17 0 0.mp3}},format,قالب,اندازه، قطع / منزلت، شان,,das Format,,123,noun,{{17 7 0.jpg}},die Formate,Welches Format soll das Papier haben?,24602987
{{18 0 0.mp3}},"to pay attention, respect",توجه کردن، احترام گذاشتن,توجه کردن، مراقب بودن / توجه کردن,,achten,,84,verb,{{18 7 0.jpg}},achtet; achtete; hat geachtet,Urgroßvater wird von allen Familienmitgliedern hoch geachtet.,24519047
{{19 0 0.mp3}},"to this place, ago",به این محل، پیش,به اینجا، به سمت من، به سمت این محل / پیش، گذشته,,her,,21,adv,{{19 7 0.jpg}},,Von den Noten her müsste sie sich eigentlich keine Sorgen machen.,23882800
{{20 0 0.mp3}},"to search, look for",جست‌و‌جو کردن، نگاه کردن,جست و جو کردن، گشتن (به دنبال چیزی),,suchen,,15,verb,{{20 7 0.jpg}},sucht; suchte; hat gesucht,Ich habe meine Sonnenbrille stundenlang gesucht.,23720349
{{21 0 0.mp3}},substance,ماده,ماده / جوهر، ماهیت,,die Substanz,,90,noun,{{21 7 0.jpg}},die Substanzen,Dieses Heilmittel wurde aus verschiedenen Substanzen hergestellt.,24541764
